City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,hirara,24.8,125.2833,64.67,68,75,10.36,JP,1706320548
125,nar'yan-mar,67.6713,53.087,12.11,97,94,5.99,RU,1706320548
126,urangan,-25.3,152.9,83.66,81,98,13.33,AU,1706320548
127,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,81,75,11.18,RU,1706320548
128,bardai,11.65,7.2333,59.4,26,4,14.07,NG,1706320549
129,salinopolis,-0.6136,-47.3561,79.03,87,87,10.45,BR,1706320549
130,zyryanskoye,56.8306,86.6258,3.25,95,91,5.95,RU,1706320549
131,hithadhoo,-0.6,73.0833,82.49,67,50,14.52,MV,1706320549
132,yelm,46.942,-122.606,49.77,98,100,0.38,US,1706320549
133,bonthe,7.5264,-12.505,79.39,88,3,3.36,SL,1706320549
134,bang krathum,16.5783,100.3003,79.99,53,99,1.36,TH,1706320549
135,port lincoln,-34.7333,135.8667,67.95,53,0,11.97,AU,1706320550
136,college,64.8569,-147.8028,-35.91,55,20,0.0,US,1706320550
137,sungai raya,0.7,108.9,83.84,72,18,9.42,ID,1706320550
138,dudinka,69.4058,86.1778,9.68,91,100,21.0,RU,1706320550
139,santa marta,11.2408,-74.199,84.25,61,55,12.66,CO,1706320277
140,gangtok,27.3333,88.6167,40.03,51,17,3.11,IN,1706320550
141,caleta de carquin,-11.0925,-77.6267,75.74,78,94,8.75,PE,1706320550
142,san clemente del tuyu,-36.3569,-56.7235,71.98,74,0,19.19,AR,1706320551
143,turiacu,-1.6633,-45.3717,75.63,96,100,3.98,BR,1706320551
144,bodaybo,57.8506,114.1933,-9.17,97,100,2.84,RU,1706320551
145,qamdo,31.1667,97.2333,13.03,45,68,6.62,CN,1706320551
146,lerwick,60.1545,-1.1494,46.4,82,100,33.42,GB,1706320551
147,navadwip,23.4167,88.3667,57.11,46,100,3.8,IN,1706320551
148,abay,49.6311,72.8539,7.18,93,100,16.62,KZ,1706320552
149,flying fish cove,-10.4217,105.6791,83.88,74,40,5.75,CX,1706320384
150,ketchikan,55.3422,-131.6461,48.18,93,100,13.8,US,1706320552
151,ust-nera,64.5667,143.2,-37.37,96,65,1.25,RU,1706320289
152,fort st. john,56.2499,-120.8529,39.09,70,75,10.36,CA,1706320552
153,piti village,13.4626,144.6933,83.28,75,100,16.11,GU,1706320552
154,selfoss,63.9331,-20.9971,28.04,57,99,26.11,IS,1706320552
155,luang namtha,20.9497,101.4011,66.22,94,100,2.3,LA,1706320552
156,kodiak,57.79,-152.4072,24.31,63,20,17.27,US,1706320553
157,igarka,67.4667,86.5833,7.68,93,100,18.37,RU,1706320553
158,oak island,33.9166,-78.1611,64.45,96,100,6.91,US,1706320553
159,yanam,16.7333,82.2167,72.48,86,40,4.65,IN,1706320553
160,la passe,45.5549,-0.8967,50.99,96,100,5.12,FR,1706320553
161,trincomalee,8.5711,81.2335,79.21,73,38,11.27,LK,1706320553
162,ambon,-3.6954,128.1814,89.74,58,40,17.27,ID,1706320553
163,atafu village,-8.5421,-172.5159,85.21,73,100,10.36,TK,1706320554
164,eyl,7.9803,49.8164,75.65,92,19,6.22,SO,1706320554
165,alo,7.4178,6.7371,74.21,22,33,3.11,NG,1706320554
166,merizo village,13.2658,144.6691,82.96,82,11,14.27,GU,1706320554
167,katsuren-haebaru,26.3369,127.8719,64.78,57,100,5.75,JP,1706320260
168,forster,-32.1667,152.5167,76.28,78,100,7.67,AU,1706320554
169,port saint john's,-31.6229,29.5448,73.99,76,86,6.11,ZA,1706320554
170,ugoofaaru,5.6667,73.0,81.63,72,71,16.73,MV,1706320554
171,badger,64.8,-147.5333,-36.0,67,20,0.0,US,1706320555
172,hafnarfjordur,64.0671,-21.9377,30.07,80,100,9.22,IS,1706320555
173,la sarre,48.8002,-79.1996,29.19,96,100,1.72,CA,1706320555
174,verkhnevilyuysk,63.4453,120.3167,-39.33,100,97,4.29,RU,1706320555
175,gulf breeze,30.3571,-87.1639,65.19,95,0,3.44,US,1706320555
176,diamantino,-14.4086,-56.4461,74.03,55,0,1.99,BR,1706320367
177,mount gambier,-37.8333,140.7667,69.26,48,64,12.97,AU,1706320265
178,raypur,22.4108,88.5094,57.16,36,100,6.35,IN,1706320556
179,tsiombe,-25.3,45.4833,70.79,79,0,10.6,MG,1706320556
180,nadym,65.5333,72.5167,10.06,94,100,8.79,RU,1706320280
181,beloyarskiy,63.7119,66.6722,10.0,96,100,4.0,RU,1706320556
182,homosassa springs,28.8036,-82.5759,71.22,90,100,0.0,US,1706320556
183,taoudenni,22.6783,-3.9836,63.5,23,0,10.27,ML,1706320556
184,wuzhou,23.4833,111.3167,46.27,81,100,3.38,CN,1706320557
185,revda,56.801,59.9303,6.37,95,100,3.87,RU,1706320262
186,florida,28.7505,-82.5001,70.99,90,100,0.0,US,1706319933
187,knyaze-volkonskoye,48.4642,135.4567,-3.66,98,54,3.0,RU,1706320557
188,santa elena de uairen,4.6167,-61.1333,73.22,59,94,6.46,VE,1706320557
189,port macquarie,-31.4333,152.9167,77.9,89,100,6.31,AU,1706320524
190,bandar lampung,-5.4254,105.258,82.09,77,26,6.91,ID,1706320557
191,el calafate,-50.3408,-72.2768,49.69,72,63,15.86,AR,1706320558
192,egilsstadir,65.2653,-14.3948,28.31,59,0,12.66,IS,1706320558
193,macka,40.8186,39.6136,36.75,97,100,2.04,TR,1706320558
194,puerto leguizamo,-0.1934,-74.7819,77.95,61,30,0.78,CO,1706320558
195,donnacona,46.6804,-71.7239,28.71,86,100,2.3,CA,1706320558
196,remire-montjoly,4.9167,-52.2667,80.64,78,0,8.05,GF,1706320558
197,hawaiian paradise park,19.5933,-154.9731,80.87,75,100,10.36,US,1706320558
198,phang nga,8.4509,98.5298,84.24,70,15,5.88,TH,1706320559
199,bovalino,38.149,16.174,53.35,70,30,4.9,IT,1706320559
200,chonchi,-42.6128,-73.8092,62.31,93,100,2.77,CL,1706320559
201,kone,-21.0595,164.8658,89.29,48,48,4.74,NC,1706320285
202,chamical,-30.36,-66.314,78.76,30,1,15.19,AR,1706320559
203,lang suan,9.9456,99.0785,80.08,82,29,11.43,TH,1706320559
204,hamilton,39.1834,-84.5333,47.03,89,100,6.91,US,1706320338
205,ulladulla,-35.35,150.4667,75.34,59,82,13.62,AU,1706320559
206,toliara,-23.35,43.6667,71.8,73,0,9.04,MG,1706320559
207,at taj,24.2049,23.2857,47.57,63,1,6.06,LY,1706320560
208,axum,14.1245,38.7244,58.77,55,100,1.52,ET,1706320560
209,salekhard,66.53,66.6019,3.76,98,94,1.23,RU,1706320560
210,iskateley,67.6803,53.1512,12.02,97,94,5.99,RU,1706320560
211,saipan,15.1355,145.701,79.5,78,100,20.71,MP,1706320560
212,nova sintra,14.8667,-24.7167,70.66,72,71,6.06,CV,1706320560
213,whakatane,-37.9585,176.9854,73.51,77,100,3.0,NZ,1706320560
214,east london,-33.0153,27.9116,72.25,77,100,14.16,ZA,1706320560
215,uren',57.4552,45.7852,8.94,98,98,3.22,RU,1706320561
216,watampone,-4.5386,120.3279,85.32,68,100,3.56,ID,1706320561
217,waliso,8.5333,37.9833,63.79,53,97,2.08,ET,1706320561
218,church hill,36.5223,-82.7135,57.83,90,100,1.99,US,1706320561
219,ust'-kulom,61.6864,53.6902,18.05,95,100,5.64,RU,1706320561
220,praia da vitoria,38.7333,-27.0667,62.85,94,20,15.17,PT,1706320561
221,geraldton,-28.7667,114.6,90.01,31,0,14.97,AU,1706320514
222,san vicente de canete,-13.0751,-76.3835,74.32,83,88,4.27,PE,1706320562
223,saynshand,44.8824,110.1163,-3.98,88,16,4.47,MN,1706320562
224,ancud,-41.8697,-73.8203,59.47,98,100,5.39,CL,1706320562
225,lompoc,34.6391,-120.4579,64.94,62,0,8.99,US,1706320562
226,namibe,-15.1961,12.1522,76.64,79,7,2.44,AO,1706320562
227,timaru,-44.4,171.25,81.07,14,6,11.99,NZ,1706320563
228,aldama,22.9167,-98.0667,74.5,96,0,2.01,MX,1706320563
229,fuglafjordur,62.244,-6.814,43.27,84,100,29.28,FO,1706320563
230,ribeira brava,32.65,-17.0667,70.0,38,97,8.16,PT,1706320563
231,jamestown,42.097,-79.2353,37.02,100,100,3.44,US,1706320275
232,pico truncado,-46.7949,-67.9573,71.44,33,83,33.84,AR,1706320564
233,gaitania,3.0906,-75.6723,77.2,71,60,5.03,CO,1706320564
234,kingston,17.997,-76.7936,77.95,87,75,5.75,JM,1706320334
235,enriquillo,17.9,-71.2333,75.61,82,2,13.91,DO,1706320564
236,tura,25.5198,90.2201,57.83,43,2,2.17,IN,1706320564
237,kingman,35.1894,-114.053,53.08,39,0,13.8,US,1706320565
238,cole harbour,44.6724,-63.4751,33.28,93,100,1.99,CA,1706320565
239,cedral,23.8,-100.7333,67.15,17,0,5.41,MX,1706320565
240,minas de marcona,-15.2119,-75.1103,66.74,80,24,9.37,PE,1706320565
241,susuman,62.7833,148.1667,-36.33,98,87,1.14,RU,1706320565
242,mar del plata,-38.0023,-57.5575,71.94,82,0,28.99,AR,1706320566
243,jertih,5.7336,102.4897,78.24,88,71,6.87,MY,1706320566
244,natal,-5.795,-35.2094,83.05,78,20,6.91,BR,1706320405
245,pokhvistnevo,53.6524,52.1274,7.5,93,100,4.12,RU,1706320566
246,east ballina,-28.8667,153.5833,85.8,78,100,9.53,AU,1706320566
247,margate,51.3813,1.3862,39.69,79,88,1.99,GB,1706320284
248,melekeok village,7.4957,134.6367,79.36,89,100,11.5,PW,1706320566
249,devils lake,48.1128,-98.8651,26.58,86,0,8.05,US,1706320549
250,emerald,-23.5333,148.1667,97.66,40,100,9.04,AU,1706320567
251,holualoa,19.6228,-155.9522,78.78,74,20,13.8,US,1706320567
252,sweetwater,25.7634,-80.3731,76.01,89,20,10.36,US,1706320567
